"MOVIEID","IMDBID","TITLE","GENRES","TITLETYPE","STARTYEAR","RELEASE_DATE_TXT","RUNTIME","PRODUCTION_COMPANIES","POPULARITY","ORIGINAL_LANGUAGE","RUNTIMEMINUTES","DIRECTOR_NAME","DIRECTOR_GENDER","ACTOR1_NAME","ACTOR1_GENDER","ACTOR2_NAME","ACTOR2_GENDER","AVERAGERATING","NUMVOTES","BUDGET","REVENUE","VOTE_COUNT","VOTE_AVERAGE","ML_RCOUNT","ML_RATING"
157424,"0053641","Because They're Young","Drama","movie",1960,"01/04/1960",102,"Drexel Productions",0.030892,"en","102","Paul Wendkos",2,"Dick Clark",2,"Michael Callan",0,6.1,278,0,0,1,5,2,2.5
125836,"0059796","Those Calloways","Children|Drama","movie",1965,"28/01/1965",131,"Walt Disney Productions",0.064133,"en","131","Norman Tokar",2,"Brian Keith",2,"Vera Miles",1,6.7,470,0,0,3,7.3,3,3.83333333333333333333333333333333333333
161080,"0065750","The Fury of the Wolf Man","Horror","movie",1972,"07/02/1972",90,"Maxper Producciones Cinematográficas (Maximiliano Pérez Flórez)",0.015154,"en","90","José María Zabalza",0,"Paul Naschy",2,"Perla Cristal",0,3.6,627,0,0,3,6.7,2,1.75
154337,"0070124","Gordon's War","Action|Adventure|Crime","movie",1973,"09/08/1973",90,"Palomar Pictures",0.010937,"en","90","Ossie Davis",2,"Paul Winfield",2,"Carl Lee",2,6.5,344,0,0,0,0,3,2.83333333333333333333333333333333333333
130524,"2272918","Flying Home","Romance","movie",2014,"02/04/2014",96,"Kanakna Productions",0.58609,"en","95","Dominique Deruddere",0,"Jamie Dornan",2,"Charlotte De Bruyne",0,6.1,4425,0,0,73,5.9,10,3.05
32056,"0106464","Bopha!","Drama","movie",1993,"16/09/1993",120,"none",0.162523,"en","120","Morgan Freeman",2,"Danny Glover",2,"Malcolm McDowell",2,6.5,786,12000000,212483,0,0,12,3.20833333333333333333333333333333333333
162338,"0087019","Cal","Drama|Romance|Thriller","movie",1984,"24/08/1984",102,"none",0.175153,"en","102","Pat O'Connor",2,"John Lynch",2,"Helen Mirren",1,6.6,1300,0,0,10,5.9,4,3.5
75979,"0054898","The Frightened City","Crime|Drama|Film-Noir","movie",1961,"01/09/1961",97,"Zodiac Productions",0.08755,"en","97","John Lemont",2,"Herbert Lom",2,"John Gregson",2,6.2,550,0,0,2,6.5,3,2.33333333333333333333333333333333333333
86442,"0092794","Crazy Love","Drama","movie",1987,"01/10/1987",90,"none",0.096251,"en","90","Dominique Deruddere",0,"Geert Hunaerts",0,"Josse De Pauw",0,6.9,1035,0,119919,7,6.5,6,3.25
93516,"0379184","Blackballed: The Bobby Dukes Story","Comedy","movie",2004,"01/01/2004",91,"The 7th Floor",0.319524,"en","91","Brant Sersen",0,"Rob Corddry",2,"Paul Scheer",2,6.4,1151,0,0,5,5.5,9,3.55555555555555555555555555555555555556
141470,"0762070","Andrew Jenks, Room 335","(no genres listed)","movie",2006,"15/01/2008",90,"none",0.010352,"en","90","Andrew Jenks",2,"Bill Delarm",0,"Andrew Jenks",2,7.8,211,0,0,1,10,3,4.66666666666666666666666666666666666667
194885,"3417444","Big Gold Dream: Scottish Post-Punk and Infiltrating the Mainstream","Documentary","movie",2015,"19/06/2015",94,"On-Set Digital",0.068594,"en","94","Grant McPhee",0,"Norman Blake",0,"Bobby Bluebell",0,7.5,48,0,0,0,0,2,4.25
117662,"0041328","Easy Living","Drama","movie",1949,"08/10/1949",77,"RKO Radio Pictures",0.099774,"en","77","Jacques Tourneur",0,"Victor Mature",2,"Lucille Ball",1,6.5,624,0,0,0,0,2,3.25
116305,"0254676","Pentimento","Drama","movie",1979,"01/02/1979",78,"none",0.0003,"en","78","Frans Zwartjes",0,"none",0,"none",0,6.3,122,0,0,5,7.4,3,2.66666666666666666666666666666666666667
132672,"0041196","Bomba, the Jungle Boy","Adventure","movie",1949,"20/03/1949",70,"Monogram Pictures",0.007893,"en","70","Ford Beebe",2,"Johnny Sheffield",2,"Peggy Ann Garner",1,5.8,235,0,0,1,5,1,2.5
142665,"0022651","Back Street","Drama","movie",1932,"01/09/1932",93,"Universal Pictures",0.000747,"en","93","John M. Stahl",2,"Irene Dunne",1,"John Boles",2,7,505,0,0,2,4,1,2
156332,"0030378","Little Tough Guy","Crime|Drama","movie",1938,"22/07/1938",86,"Universal Pictures",0.159772,"en","86","Harold Young",2,"none",0,"Robert Wilcox",2,6.4,130,0,0,3,6.8,1,3
158037,"0949497","Prater","Documentary","movie",2007,"10/02/2007",105,"none",0.001053,"en","107","Ulrike Ottinger",0,"none",0,"Veruschka von Lehndorff",0,6.4,71,0,0,1,5,2,3.5
157901,"0043291","Apache Drums","Action|Western","movie",1951,"01/04/1951",75,"Universal International Pictures (UI)",0.042374,"en","76","Hugo Fregonese",2,"Stephen McNally",0,"Coleen Gray",0,6.4,557,0,0,5,4.6,1,3
54542,"0040242","Command Decision","Drama|War","movie",1948,"23/12/1948",112,"Metro-Goldwyn-Mayer (MGM)",0.174636,"en","112","Sam Wood",2,"Clark Gable",2,"Walter Pidgeon",2,7.3,1840,0,0,5,7,7,3.14285714285714285714285714285714285714
165791,"0089555","Marie","Drama","movie",1985,"27/09/1985",112,"Metro-Goldwyn-Mayer (MGM)",0.106608,"en","112","Roger Donaldson",2,"Sissy Spacek",1,"Jeff Daniels",2,6.7,769,0,0,0,0,1,3
179419,"0007340","Shoes","Drama","movie",1916,"26/06/1916",60,"Universal Film Manufacturing Company",0.000151,"en","60","Lois Weber",0,"none",0,"Mary MacLaren",0,6.7,217,0,0,1,5,3,3.33333333333333333333333333333333333333
110790,"0195290","Along the Sungari River","Drama","movie",1947,"06/03/1947",115,"none",0.000248,"en","130","Jin Shan",0,"none",0,"none",0,6.8,48,0,0,1,5,2,3.25
124879,"0059232","The Glory Guys","Action|Drama|Romance|Western","movie",1965,"07/07/1965",112,"Levy-Gardner-Laven",0.300321,"en","112","Arnold Laven",2,"Tom Tryon",2,"Harve Presnell",2,6.2,692,0,0,3,6,1,3
189617,"2633778","Soul Food Junkies","(no genres listed)","movie",2012,"01/01/2012",64,"none",0.001511,"en","64","Byron Hurt",0,"none",0,"none",0,6.9,72,0,0,2,8,1,5
150020,"0083307","Vrijdag","(no genres listed)","movie",1980,"07/03/1981",0,"none",0.000055,"en","96","none",1,"none",0,"none",0,6.2,143,0,0,0,0,1,3
116072,"0027455","Colleen","Drama|Romance","movie",1936,"21/03/1936",89,"Warner Bros.",0.193055,"en","89","Alfred E. Green",0,"Dick Powell",2,"Ruby Keeler",1,6,290,0,0,0,0,1,3
129887,"0310741","Moving Alan","(no genres listed)","movie",2003,"04/04/2003",83,"none",0.1963,"en","85","Christopher Shelton",0,"Misha Collins",2,"Marley Shelton",1,5.6,108,0,0,0,0,1,4
140437,"0080966","Joni","Drama","movie",1979,"01/06/1979",75,"World Wide Productions",0.0001,"en","75","none",1,"none",0,"none",0,6.8,213,0,0,0,0,1,3
156266,"0036253","Passport to Suez","Comedy|Crime|Thriller","movie",1943,"19/08/1943",72,"Columbia Pictures Corporation",0.002328,"en","72","André De Toth",0,"Warren William",0,"Ann Savage",1,6.4,269,0,0,2,6.5,1,3
1917,"0120591","Armageddon","Action|Romance|Sci-Fi|Thriller","movie",1998,"01/07/1998",151,"Jerry Bruckheimer Films",5.552136,"en","151","Michael Bay",2,"Bruce Willis",2,"Billy Bob Thornton",2,6.7,384395,140000000,553799566,2314,6.4,22671,2.99303074412244717921573816770323320542
1722,"0120347","Tomorrow Never Dies","Action|Adventure|Thriller","movie",1997,"11/12/1997",119,"Eon Productions",4.792032,"en","119","Roger Spottiswoode",2,"Pierce Brosnan",2,"Jonathan Pryce",2,6.5,175141,110000000,333011068,870,6,12328,3.22400227125243348475016223231667748215
2100,"0088161","Splash","Comedy|Fantasy|Romance","movie",1984,"09/03/1984",111,"Touchstone Pictures",2.035438,"en","111","Ron Howard",2,"Tom Hanks",2,"Daryl Hannah",1,6.2,66297,8000000,69821334,289,6.1,11156,3.21983685908927931158121190390821082825
33817,"0382189","My Summer of Love","Drama|Romance","movie",2004,"20/08/2004",86,"none",0.159353,"en","86","Pawe? Pawlikowski",0,"Natalie Press",0,"Emily Blunt",1,6.7,19067,0,0,52,5.8,410,3.39878048780487804878048780487804878049
48516,"0407887","The Departed","Crime|Drama|Thriller","movie",2006,"05/10/2006",151,"Vertigo Entertainment",8.384518,"en","151","Martin Scorsese",2,"Leonardo DiCaprio",2,"Matt Damon",2,8.5,1134736,90000000,289847354,4009,7.9,25343,4.12123663338989069960146786094779623565
6537,"0181852","Terminator 3: Rise of the Machines","Action|Adventure|Sci-Fi","movie",2003,"02/07/2003",109,"Columbia Pictures",5.894657,"en","109","Jonathan Mostow",2,"Arnold Schwarzenegger",2,"Nick Stahl",2,6.3,366784,200000000,435000000,1995,5.9,11546,3.05880824527975056296552918759743634159
1082,"0068334","The Candidate","Drama","movie",1972,"23/08/1972",110,"Warner Bros.",0.831864,"en","110","Michael Ritchie",2,"Robert Redford",2,"Peter Boyle",2,7,9304,0,0,39,6.9,1707,3.63737551259519625073227885178676039836
2359,"0166396","Waking Ned","Comedy","movie",1998,"15/09/1998",91,"Fox Searchlight Pictures",0.964478,"en","91","Kirk Jones",0,"Ian Bannen",2,"David Kelly",2,7.3,24328,0,0,49,7.4,6149,3.7972027972027972027972027972027972028
2942,"0085549","Flashdance","Drama|Romance","movie",1983,"14/04/1983",95,"Paramount Pictures",2.235785,"en","95","Adrian Lyne",2,"Jennifer Beals",1,"Michael Nouri",2,6.2,45266,4000000,92921203,270,6.1,3653,2.95414727621133315083493019436079934301
32584,"0357110","The Ballad of Jack and Rose","Drama","movie",2005,"25/03/2005",111,"Elevation Filmworks",0.632191,"en","112","Rebecca Miller",1,"Daniel Day-Lewis",2,"Camilla Belle",1,6.6,10829,1500000,712294,38,6.5,174,3.24425287356321839080459770114942528736
4916,"0074899","Midway","Drama|War","movie",1976,"18/06/1976",132,"Universal Pictures",1.478537,"en","132","Jack Smight",2,"Charlton Heston",2,"Henry Fonda",2,6.8,17061,0,0,66,6.3,521,3.52399232245681381957773512476007677543
3811,"0080310","Breaker Morant","Drama|War","movie",1980,"15/05/1980",107,"7 Network",0.100101,"en","107","Bruce Beresford",2,"Edward Woodward",2,"Jack Thompson",2,7.8,11650,107,0,35,7.1,1661,4.03461770018061408789885611077664057797
6890,"0363589","Elephant","Drama","movie",2003,"18/05/2003",81,"HBO Films",1.679212,"en","81","Gus Van Sant",2,"Alex Frost",2,"Eric Deulen",2,7.2,83117,3000000,10012022,362,7,2003,3.53170244633050424363454817773339990015
2568,"0120757","The Mod Squad","Action|Crime","movie",1999,"26/03/1999",92,"Metro-Goldwyn-Mayer (MGM)",0.762768,"en","92","Scott Silver",2,"Claire Danes",1,"Giovanni Ribisi",2,4.3,8497,50000000,13260050,34,4.2,1352,2.14312130177514792899408284023668639053
41997,"0408306","Munich","Action|Crime|Drama|Thriller","movie",2005,"22/12/2005",164,"DreamWorks SKG",2.742811,"en","164","Steven Spielberg",2,"Eric Bana",2,"Daniel Craig",2,7.5,204945,70000000,130358911,652,7,6004,3.71344103930712858094603597601598934044
2463,"0091877","Ruthless People","Comedy","movie",1986,"26/06/1986",93,"Touchstone Pictures",0.717815,"en","93","Jerry Zucker",2,"Danny DeVito",2,"Bette Midler",0,6.9,24856,0,71624879,93,6.6,3164,3.39190897597977243994943109987357774968
2380,"0091777","Police Academy 3: Back in Training","Comedy|Crime","movie",1986,"20/03/1986",83,"Warner Bros.",1.819581,"en","83","Jerry Paris",2,"Steve Guttenberg",2,"Bubba Smith",2,5.4,40906,0,43579163,236,5.5,2730,2.22179487179487179487179487179487179487
599,"0065214","The Wild Bunch","Adventure|Western","movie",1969,"17/06/1969",145,"Warner Brothers/Seven Arts",2.342939,"en","135","Sam Peckinpah",0,"William Holden",2,"Ernest Borgnine",2,7.9,74730,6244087,638641,238,7.6,3219,3.95868282075178626902764833799316557937
1678,"0107282","The Joy Luck Club","Drama|Romance","movie",1993,"08/09/1993",139,"Hollywood Pictures",0.306065,"en","139","Wayne Wang",0,"Ming-Na Wen",1,"Lauren Tom",1,7.7,14539,11000000,32861136,30,7.2,4064,3.71026082677165354330708661417322834646
36537,"0318761","Thumbsucker","Comedy|Drama","movie",2005,"23/01/2005",96,"Sony Pictures Classics",1.514676,"en","96","Mike Mills",2,"Lou Taylor Pucci",2,"Tilda Swinton",1,6.6,20348,0,1919197,65,6.2,626,3.42571884984025559105431309904153354633
3422,"0091939","She's Gotta Have It","Comedy|Romance","movie",1986,"08/08/1986",84,"40 Acres & A Mule Filmworks",0.285111,"en","84","Spike Lee",2,"Tracy Camilla Johns",0,"Tommy Redmond Hicks",2,6.7,9298,0,0,22,5.9,903,3.41306755260243632336655592469545957918
3384,"0072251","The Taking of Pelham One Two Three","Action|Crime","movie",1974,"02/10/1974",104,"Palladium Productions",1.336864,"en","104","Joseph Sargent",2,"Walter Matthau",2,"Robert Shaw",2,7.7,25067,0,0,94,7.6,1699,3.80459093584461447910535609181871689229
479,"0107286","Judgment Night","Action|Crime|Thriller","movie",1993,"15/10/1993",110,"Universal Pictures",1.32287,"en","110","Stephen Hopkins",2,"Emilio Estevez",2,"Cuba Gooding Jr.",2,6.6,14793,0,12136938,69,6.5,1136,2.92385563380281690140845070422535211268
5501,"0295427","The Master of Disguise","Comedy|Mystery","movie",2002,"02/08/2002",80,"Columbia Pictures",0.983108,"en","80","Perry Andelin Blake",2,"Dana Carvey",2,"Brent Spiner",2,3.3,21593,0,0,73,3.8,849,1.86866902237926972909305064782096584217
84637,"0377981","Gnomeo & Juliet","Adventure|Animation|Children|Comedy|Fantasy|Romance","movie",2011,"13/01/2011",84,"Starz Animation",4.009515,"en","84","Kelly Asbury",2,"James McAvoy",2,"Michael Caine",2,5.9,50961,36000000,189712432,492,5.7,633,2.66982622432859399684044233807266982622
982,"0048491","Picnic","Drama","movie",1955,"18/11/1955",115,"Columbia Pictures Corporation",0.725238,"en","115","Joshua Logan",2,"William Holden",2,"Kim Novak",1,7.1,7577,0,0,19,6.7,549,3.63752276867030965391621129326047358834
66,"0116839","Lawnmower Man 2: Beyond Cyberspace","Action|Sci-Fi|Thriller","movie",1996,"12/01/1996",92,"New Line Cinema",0.299088,"en","93","Farhad Mann",2,"Patrick Bergin",2,"Matt Frewer",2,2.5,8799,0,2409225,30,2.8,2215,2.13769751693002257336343115124153498871
7016,"0093692","Over the Top","Action|Drama","movie",1987,"13/02/1987",93,"Cannon Group",2.007973,"en","93","Menahem Golan",2,"Sylvester Stallone",2,"Robert Loggia",2,5.8,48196,25000000,16057580,308,5.7,494,2.45647773279352226720647773279352226721
4096,"0092809","The Curse","Horror|Sci-Fi","movie",1987,"11/09/1987",92,"Trans World Entertainment (TWE)",0.113421,"en","92","David Keith",2,"Wil Wheaton",2,"Claude Akins",2,5.1,2565,0,0,19,5.3,45,2.12222222222222222222222222222222222222
6533,"0069495","What's Up, Doc?","Comedy","movie",1972,"09/03/1972",94,"Saticoy Productions",0.525262,"en","94","Peter Bogdanovich",2,"Barbra Streisand",0,"Ryan O'Neal",2,7.7,18500,0,0,66,7.2,688,3.70421511627906976744186046511627906977
4079,"0092546","Amazon Women on the Moon","Comedy|Sci-Fi","movie",1987,"18/09/1987",85,"Universal Pictures",0.326763,"en","85","Joe Dante",2,"Arsenio Hall",2,"Monique Gabrielle",1,6.2,9686,0,0,32,6,822,3.28467153284671532846715328467153284672
7583,"0034890","In This Our Life","Drama","movie",1942,"16/05/1942",97,"Warner Bros.",0.127744,"en","97","John Huston",2,"Bette Davis",1,"Olivia de Havilland",1,7.4,3846,0,0,13,6.2,41,3.43902439024390243902439024390243902439
8270,"0100112","The Hairdresser's Husband","Comedy|Drama|Romance","movie",1990,"03/10/1990",82,"none",1.134365,"en","82","Patrice Leconte",2,"Jean Rochefort",2,"Anna Galiena",1,7.3,8705,0,0,37,7.2,243,3.71810699588477366255144032921810699588
7781,"0096321","Twister","Comedy","movie",1989,"01/06/1989",93,"none",0.172173,"en","93","Michael Almereyda",2,"Harry Dean Stanton",2,"Suzy Amis",1,5.2,1863,0,0,4,4.3,402,3.00497512437810945273631840796019900498
5733,"0082353","Eyewitness","Thriller","movie",1981,"13/02/1981",103,"Twentieth Century Fox Film Corporation",0.634702,"en","103","Peter Yates",2,"William Hurt",2,"Sigourney Weaver",1,6,4052,0,0,22,6,80,3.1625
8997,"0045192","The Stooge","Comedy","movie",1951,"01/01/1952",100,"Paramount Pictures",0.545995,"en","100","Norman Taurog",2,"Dean Martin",2,"Jerry Lewis",2,6.8,1245,0,0,9,6.7,24,2.45833333333333333333333333333333333333
25937,"0040308","Easter Parade","Musical|Romance","movie",1948,"08/07/1948",107,"Metro-Goldwyn-Mayer (MGM)",0.305885,"en","103","Charles Walters",0,"Judy Garland",1,"Fred Astaire",2,7.4,8215,0,0,29,6.8,218,3.65137614678899082568807339449541284404
2196,"0120724","Knock Off","Action","movie",1998,"04/09/1998",91,"TriStar Pictures",0.637074,"en","91","Tsui Hark",2,"Jean-Claude Van Damme",2,"Lela Rochon",1,4.9,13443,33000000,0,55,4.8,309,2.16343042071197411003236245954692556634
66320,"0492931","The 11th Hour","Documentary","movie",2007,"17/08/2007",95,"none",0.461538,"en","95","Nadia Conners",1,"Kenny Ausubel",0,"Janine Benyus",0,7.3,5482,0,0,26,6.4,68,3.32352941176470588235294117647058823529
1341,"0074258","Burnt Offerings","Horror","movie",1976,"18/10/1976",116,"United Artists",0.216566,"en","116","Dan Curtis",2,"Karen Black",1,"Oliver Reed",2,6.5,9180,0,0,54,6.6,403,2.90074441687344913151364764267990074442
4195,"0066740","The Abominable Dr. Phibes","Horror|Mystery","movie",1971,"18/05/1971",94,"American International Pictures (AIP)",1.180331,"en","94","Robert Fuest",2,"Vincent Price",2,"Joseph Cotten",2,7.1,12795,0,0,77,6.9,484,3.45351239669421487603305785123966942149
4687,"0056868","Billy Liar","Comedy","movie",1963,"05/06/1963",93,"Vic Films Productions",0.350204,"en","98","John Schlesinger",2,"Tom Courtenay",2,"Wilfred Pickles",2,7.4,5628,0,0,32,6.8,182,3.62087912087912087912087912087912087912
834,"0117332","Phat Beach","Comedy","movie",1996,"02/08/1996",89,"Orion Pictures",0.143438,"en","89","Doug Ellin",2,"none",0,"Jermaine 'Huggy' Hopkins",0,4,802,0,0,6,4.6,182,2.63461538461538461538461538461538461538
31539,"0390336","Overnight","Documentary","movie",2003,"12/06/2003",82,"Ether Films",0.042627,"en","82","Mark Brian Smith",2,"none",0,"Troy Duffy",2,7.1,4085,550,0,17,6.9,86,3.38372093023255813953488372093023255814
40988,"0045883","Hondo","Western","movie",1953,"25/11/1953",83,"Batjac Productions",1.364564,"en","83","John Farrow",2,"John Wayne",2,"Geraldine Page",1,7.1,8884,0,0,40,6.3,109,3.35321100917431192660550458715596330275
877,"0116418","Girls Town","Comedy|Drama","movie",1996,"21/08/1996",90,"none",0.005237,"en","90","Jim McKay",2,"Lili Taylor",1,"Bruklin Harris",1,6.2,711,0,0,3,5.2,153,3.18954248366013071895424836601307189542
4342,"0212815","Big Eden","Drama|Romance","movie",2000,"18/04/2000",117,"Chaiken Films",0.298164,"en","118","Thomas Bezucha",2,"Arye Gross",2,"Eric Schweig",2,7.3,3904,0,512451,12,6.1,194,3.56701030927835051546391752577319587629
160209,"4016226","The Resurrection of Jake the Snake","Documentary","movie",2015,"23/01/2015",93,"none",0.148973,"en","93","Steve Yu",0,"none",0,"Page Joseph Falkinburg, Jr",2,7.9,2654,0,0,13,8.1,34,3.64705882352941176470588235294117647059
1040,"0117582","The Secret Agent","Drama","movie",1996,"08/11/1996",95,"Twentieth Century Fox Film Corporation",0.724011,"en","95","Christopher Hampton",2,"Bob Hoskins",2,"Patricia Arquette",1,5.7,2164,0,0,7,5,142,3.34154929577464788732394366197183098592
171845,"0108235","Wandering Sagittarius","Comedy|Drama|Fantasy|Romance","movie",1993,"06/06/1993",96,"A.L. Production",0.000013,"en","96","Georgiy Shengeliya",0,"Vladimir Ilin",2,"Tatyana Dogileva",0,7.1,91,0,0,1,1,2,3.75
90104,"0281534","ABC Africa","Documentary","movie",2001,"24/10/2001",83,"none",0.000405,"en","83","Abbas Kiarostami",0,"none",0,"none",0,6.9,649,0,0,4,4.8,11,2.81818181818181818181818181818181818182
37626,"0025318","It's a Gift","Comedy","movie",1934,"30/11/1934",68,"Paramount Pictures",0.209184,"en","68","Norman Z. McLeod",2,"W.C. Fields",2,"Kathleen Howard",1,7.2,4700,0,0,15,5.9,57,3.36842105263157894736842105263157894737
2397,"0087688","Mass Appeal","Drama","movie",1984,"14/12/1984",99,"none",0.064654,"en","99","Glenn A. Jordan",2,"Jack Lemmon",2,"Zeljko Ivanek",2,6.7,916,0,0,3,7.5,150,3.32
6020,"0026056","Alice Adams","Comedy|Drama","movie",1935,"23/08/1935",99,"RKO Radio Pictures",0.113452,"en","99","George Stevens",2,"Katharine Hepburn",1,"Fred MacMurray",2,6.9,3557,0,0,9,5,104,3.48076923076923076923076923076923076923
78898,"0060165","A Big Hand for the Little Lady","Comedy|Drama|Western","movie",1966,"31/05/1966",95,"Eden Productions Inc.",1.012908,"en","95","Fielder Cook",2,"Henry Fonda",2,"Joanne Woodward",1,7.3,3721,0,0,18,5.9,32,3.625
186037,"0056277","Captain Clegg","(no genres listed)","movie",1962,"13/06/1962",80,"Hammer Film Productions",0.521841,"en","82","Peter Graham Scott",2,"Peter Cushing",2,"Yvonne Romain",1,6.7,2563,0,0,17,5.5,3,3.83333333333333333333333333333333333333
2945,"0087722","Mike's Murder","Mystery","movie",1984,"09/03/1984",109,"Warner Bros.",0.475085,"en","109","James Bridges",2,"Debra Winger",1,"Mark Keyloun",2,5.8,742,0,0,4,5.5,131,2.76717557251908396946564885496183206107
110599,"0167431","Sweet Jesus, Preacherman","Action|Drama","movie",1973,"25/05/1973",90,"Metro-Goldwyn-Mayer (MGM)",0.000196,"en","99","Henning Schellerup",2,"Roger E. Mosley",2,"William Smith",2,5,165,0,0,0,0,1,4.5
3231,"0011652","The Saphead","Comedy","movie",1920,"01/09/1920",77,"none",0.002219,"en","77","Herbert Blaché",2,"Edward Jobson",0,"Beulah Booker",0,6.1,1370,0,0,5,6.1,27,2.92592592592592592592592592592592592593
179005,"6408226","Newness","Drama|Romance","movie",2017,"25/01/2017",112,"none",0.305737,"en","117","Drake Doremus",2,"Nicholas Hoult",2,"Laia Costa",1,6.4,11606,0,0,2,4.5,41,3.46341463414634146341463414634146341463
2444,"0120391","24 7: Twenty Four Seven","Comedy|Drama","movie",1997,"31/08/1997",96,"Scala Films",0.129557,"en","96","Shane Meadows",2,"Bob Hoskins",2,"Danny Nussbaum",0,7.1,2354,0,0,9,6.3,73,3.45890410958904109589041095890410958904
4330,"0025746","The Scarlet Empress","Drama","movie",1934,"09/05/1934",104,"Paramount Pictures",0.691911,"en","104","Josef von Sternberg",2,"Marlene Dietrich",1,"John Lodge",0,7.6,5476,900000,0,22,6.6,142,3.74647887323943661971830985915492957746
1718,"0120222","Stranger in the House","Thriller","movie",1997,"01/01/1997",94,"Allegro Films",0.011105,"en","94","Rodney Gibbons",2,"none",0,"Michele Greene",1,5.3,207,0,0,0,0,40,2.8
177987,"0082537","Humongous","Horror","movie",1982,"11/06/1982",94,"Humongous Films",0.26868,"en","94","Paul Lynch",2,"Janet Julian",1,"David Wallace",2,4.8,1608,1912000,0,9,6.8,6,2.08333333333333333333333333333333333333
198489,"0083973","Frightmare","Horror","movie",1983,"26/07/1982",86,"Troma Entertainment",0.021958,"en","86","Norman Thaddeus Vane",0,"Ferdy Mayne",2,"Luca Bercovici",2,4.5,972,0,0,7,3.6,1,2
141832,"0050312","Girl without an Address","Comedy|Romance","movie",1958,"01/01/1957",90,"Mosfilm",0.000195,"en","90","Eldar Ryazanov",2,"Svetlana Karpinskaya",0,"Nikolai Rybnikov",0,7.2,427,0,0,1,5,15,3.76666666666666666666666666666666666667
141292,"0117096","Moving Target","(no genres listed)","movie",1996,"26/11/1996",106,"Royal Oaks Entertainment Inc.",0.042984,"en","106","Damian Lee",2,"Michael Dudikoff",2,"Ardon Bess",2,4.1,315,0,0,4,5.1,1,2
5281,"0096466","The Wrong Guys","Comedy","movie",1988,"13/05/1988",86,"New World Pictures",0.039762,"en","86","Danny Bilson",2,"Louie Anderson",2,"Richard Lewis",2,5.2,698,0,0,1,6,25,2.28
82129,"0041735","The Passionate Friends","Drama","movie",1949,"26/01/1949",86,"Cineguild",0.248761,"en","95","David Lean",2,"Ann Todd",1,"Claude Rains",2,7.2,2062,0,0,5,7.1,13,3.15384615384615384615384615384615384615
87417,"0051372","Araya","Documentary","movie",1959,"31/08/1959",90,"Films de l'Archer",0.000343,"en","90","Margot Benacerraf ",0,"José Ignacio Cabrujas",0,"Laurent Terzieff",2,7.6,572,0,0,6,6.9,7,3.42857142857142857142857142857142857143
4779,"0270971","Go Tigers!","Documentary","movie",2001,"20/01/2001",103,"none",0.000216,"en","103","Kenneth A. Carlson",2,"none",0,"none",0,7.1,793,0,0,1,8,116,3.54741379310344827586206896551724137931
2608,"0120697","Heaven","Thriller","movie",1998,"29/04/1999",105,"Miramax Films",0.13561,"en","103","Scott Reynolds",2,"Martin Donovan",2,"Joanna Going",1,6.5,784,0,0,4,5.9,49,2.96938775510204081632653061224489795918
40898,"0037963","Our Vines Have Tender Grapes","Drama","movie",1945,"06/09/1945",105,"Metro-Goldwyn-Mayer (MGM)",0.109724,"en","105","Roy Rowland",2,"Edward G. Robinson",2,"Margaret O'Brien",1,7.5,1574,0,0,5,3.9,11,3.81818181818181818181818181818181818182
138806,"0042265","The Blue Lamp","Action|Comedy|Crime|Romance|Thriller","movie",1950,"19/01/1950",84,"Ealing Studios",0.316633,"en","84","Basil Dearden",2,"Jack Warner",2,"Jimmy Hanley",2,6.9,1510,0,0,18,7,5,2.8
46716,"0041555","Knock on Any Door","Crime|Drama|Film-Noir","movie",1949,"01/01/1949",100,"Santana Pictures Corporation",0.145909,"en","100","Nicholas Ray",0,"Humphrey Bogart",2,"John Derek",0,6.8,2841,900000,0,10,6.1,20,2.975
3314,"0044420","The Big Trees","Action|Drama","movie",1952,"05/02/1952",89,"Warner Bros.",0.21989,"en","89","Felix E. Feist",2,"Kirk Douglas",2,"Eve Miller",1,5.7,1360,0,0,7,5.2,34,3.10294117647058823529411764705882352941
45047,"0077372","Corvette Summer","Adventure|Comedy","movie",1978,"02/06/1978",105,"Metro-Goldwyn-Mayer (MGM)",0.405294,"en","105","Matthew Robbins",2,"Mark Hamill",2,"Annie Potts",1,5.7,2617,0,15500000,14,5.5,15,3
171339,"0078836","Bear Island","Action|Adventure|Mystery|Thriller","movie",1979,"05/12/1979",118,"Columbia Pictures",0.207932,"en","118","Don Sharp",2,"Donald Sutherland",2,"Vanessa Redgrave",1,5.9,1979,12200000,0,9,6,6,3.58333333333333333333333333333333333333
124386,"0064406","Hard Contract","(no genres listed)","movie",1969,"30/04/1969",106,"none",0.135688,"en","106","S. Lee Pogostin",0,"James Coburn",2,"Lee Remick",1,5.9,480,4000000,1750000,3,6.7,3,3.16666666666666666666666666666666666667
168742,"0039324","Dishonored Lady","Drama","movie",1947,"16/05/1947",85,"Hunt Stromberg Productions",0.212247,"en","85","Robert Stevenson",2,"Hedy Lamarr",1,"Dennis O'Keefe",2,6.5,985,0,0,5,4.6,5,2.9
142644,"0020499","Thunderbolt","Drama","movie",1929,"20/06/1929",85,"Paramount Pictures",0.190921,"en","85","Josef von Sternberg",2,"George Bancroft",2,"Fay Wray",1,6.6,485,0,0,2,4.5,6,2.33333333333333333333333333333333333333
